Authority,Department / division,Official designation,Name as published,Office phone,Official published email,Verification status,Jurisdiction / caveat,Government directory,Checked
Pune Collectorate,Foodgrain Distribution,Foodgrain Distribution Officer,Prashant Khatal,020-26123743,fdo.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,Rehabilitation,District Rehabilitation Officer,Swapnil More,020-26061010,dro.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,Election,Deputy District Election Officer,Minal Kalaskar,020-26134478,dydeo.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,Planning,District Planning Officer,Kiran Indalkar,020-26121012,dpo.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,Disaster Management,District Disaster Management Officer,Vitthal Banote,020-26123371,,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Purandar,Sub-divisional officer,Varsha Landge,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Haveli,Sub-divisional officer,Yashwant Mane,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Pune City / Shirur,Sub-divisional officer,Vitthal Joshi,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Maval / Mulshi,Sub-divisional officer,Surendra Navale,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Bhor / Velha,Sub-divisional officer,Vikas Kharat,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Daund,Sub-divisional officer,Revannath Labde,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Khed,Sub-divisional officer,Anil Daude,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Revenue,SDO Baramati / Indapur,Sub-divisional officer,Uttam Dighe,,,Government-listed; role/current posting needs operational confirmation,Junnar/Ambegaon SDO listed vacant; do not invent officer.,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Zilla Parishad,CEO office,Chief Executive Officer,Gajanan Patil,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,CEO office,Additional Chief Executive Officer,Chandrakant Waghmare,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,District Rural Development Agency,Project Director,Shalini A. Kadu,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,General Administration,Deputy CEO,Shrikant Kharat,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Finance,Chief Accounts & Finance Officer,Vishal Pawar,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Village,Deputy CEO,Bhushan Joshi,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Agriculture,District Agricultural Development Officer,Ajit Pisal,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Planning & Statistics,Deputy CEO,Appasaheb Gujar,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Women & Child Development,District Programme Officer,Anand Madhukar Khandagle,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Works South,Executive Engineer (in charge),Amarjeet Maruti Ramshe,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Works North,Executive Engineer,Hemant Kumar Chougule,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Animal Husbandry,District Animal Husbandry Officer,Rajeshkumar Vikramji Wasnik,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Primary Education,Education Officer,Lalita Shahaji Dahitule,,,Government-listed; role/current posting needs operational confirmation,Official directory lists office; verify departmental operational jurisdiction.,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Ambegaon,Block Development Officer,Pramila Walunj,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Baramati,Block Development Officer,Kishor Mane,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Bhor,Block Development Officer (in charge),Chandrakant Vipat,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Daund,Block Development Officer,Arun Bhanudas Marbhal,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Indapur,Block Development Officer,Sachin Khude,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Khed,Block Development Officer,Vishal Shinde,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Maval,Block Development Officer,Kuldeep Pradhan,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Mulshi,Block Development Officer,Sudhir Bhagwat,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Purandar,Block Development Officer,Pranoti Sukhraj Shrimal,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Shirur,Block Development Officer,Mahesh Doke,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Velha,Block Development Officer,Sanjay Kashiba Dhamal,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
Pune Zilla Parishad,Panchayat Samiti Junnar,Block Development Officer,Pratik Diwakar Channawar,,,Government-listed; role/current posting needs operational confirmation,,https://www.punezp.gov.in/en/directory/,2026-09-22
MSEDCL,Region,Enquiry,Varsha Karande,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Pune Zone,Admin & Safety,Satish Sarode,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Ganeshkhind Urban,Admin & Safety,Shekhar Murkute,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Pune,Consumer Grievance Redressal Forum,Aparna Munshettiwar,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Ganeshkhind Urban / Bhosari,Executive Engineer,Atul Deokar,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Ganeshkhind Urban / Kothrud,Executive Engineer,Ganesh Samse,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Ganeshkhind Urban / Pimpri,Executive Engineer,Somnath Munde,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Ganeshkhind Urban / Shivajinagar,Executive Engineer,Nitin Thite,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Pune Rural,Admin & Safety,Sandeep Shendge,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Pune Rural / Manchar,Executive Engineer,Rahul Gaware,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Pune Rural / Rajgurunagar,Executive Engineer,Rajendra Yedke,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Pune Rural / Mulshi,Executive Engineer,Devidas Thakur,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Rastapeth Urban,Admin & Safety,Satish Khakse,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Rastapeth Urban / Parvati,Executive Engineer,Nilesh Phalke,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Rastapeth Urban / Bundgarden,Executive Engineer,Ravindra Bundile,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Rastapeth Urban / Nagar Road,Executive Engineer,Dipak Patil,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Rastapeth Urban / Padmavati,Executive Engineer,Ravindra Avhad,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Rastapeth Urban / Rastapeth,Executive Engineer,Chandrakant Dighe,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Baramati,Admin & Safety,Sanjay Gaikwad,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Baramati,Consumer Grievance Redressal Forum,Ramesh Kamble,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Baramati circle,Admin & Safety,Ramesh Kadam,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Baramati division,Executive Engineer,Sanjay Sonwalkar,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Kedgaon,Executive Engineer,Vikas Alhat,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
MSEDCL,Saswad,Executive Engineer,Bhalchandra Gawai,,,Government-listed; role/current posting needs operational confirmation,Published EE directory; electric distribution division is not equivalent to PMC ward. Check account/service number jurisdiction.,https://www.mahadiscom.in/en/executive-engineer-of-msedcl/,2026-09-22
Pune Metro,Managing Director,Managing Director,Shravan Hardikar,,,Government-listed; role/current posting needs operational confirmation,"Source lists official by name; railway operations issues should enter customer care, not MD directly.",https://punemetrorail.org/customer-care,2026-09-22
Pune Metro,Public Relations,"AGM (Admin, PR)",Chandrashekhar Tambavekar,,pr.pune@mahametro.org,Government-listed; role/current posting needs operational confirmation,PR enquiries only; do not route general complaints to PR.,https://punemetrorail.org/customer-care,2026-09-22
PWD Pune,Pune Division,Executive Engineer,Surendrakumar R. Katkar,020-26122414,pune.ee@mahapwd.gov.in,Reverify – conflicting snapshots on same official URL,Appears in PWD opened directory; departmental page has conflicting senior appointments; reverify before person-level routing.,https://pwd.maharashtra.gov.in/en/pune/,2026-09-22
